4	7	15	16	5	9	19	14	10	13	24	6	8	11	23	3	12	22	8	17	2	6	18	
5	8	16	17	6	10	20	15	11	14	1	7	9	12	24	4	13	23	9	18	3	7	19	
6	9	17	18	7	11	21	16	12	15	2	8	10	13	1	5	14	24	10	19	4	8	20	
7	10	18	19	8	12	22	17	13	16	3	9	11	14	2	6	15	1	11	20	5	9	21	
8	11	19	20	9	13	23	18	14	17	4	10	12	15	3	7	16	2	12	21	6	10	22	
9	12	20	21	10	14	24	19	15	18	5	11	13	16	4	8	17	3	13	22	7	11	23	
10	13	21	22	11	15	1	20	16	19	6	12	14	17	5	9	18	4	14	23	8	12	24	
11	14	22	23	12	16	2	21	17	20	7	13	15	18	6	10	19	5	15	24	9	13	1	
12	15	23	24	13	17	3	22	18	21	8	14	16	19	7	11	20	6	16	1	10	14	2	
13	16	24	1	14	18	4	23	19	22	9	15	17	20	8	12	21	7	17	2	11	15	3	
14	17	1	2	15	19	5	24	20	23	10	16	18	21	9	13	22	8	18	3	12	16	4	
15	18	2	3	16	20	6	1	21	24	11	17	19	22	10	14	23	9	19	4	13	17	5	
16	19	3	4	17	21	7	2	22	1	12	18	20	23	11	15	24	10	20	5	14	18	6	
17	20	4	5	18	22	8	3	23	2	13	19	21	24	12	16	1	11	21	6	15	19	7	
18	21	5	6	19	23	9	4	24	3	14	20	22	1	13	17	2	12	22	7	16	20	8	
19	22	6	7	20	24	10	5	1	4	15	21	23	2	14	18	3	13	23	8	17	21	9	
20	23	7	8	21	1	11	6	2	5	16	22	24	3	15	19	4	14	24	9	18	22	10	
21	24	8	9	22	2	12	7	3	6	17	23	1	4	16	20	5	15	1	10	19	23	11	
22	1	9	10	23	3	13	8	4	7	18	24	2	5	17	21	6	16	2	11	20	24	12	
23	2	10	11	24	4	14	9	5	8	19	1	3	6	18	22	7	17	3	12	21	1	13	
24	3	11	12	1	5	15	10	6	9	20	2	4	7	19	23	8	18	4	13	22	2	14	
1	5	15	6	17	16	10	9	13	24	8	19	18	7	22	20	21	2	14	9	3	11	12	
2	6	16	7	18	17	11	10	14	1	9	20	19	8	23	21	22	3	15	10	4	12	13	
3	7	17	8	19	18	12	11	15	2	10	21	20	9	24	22	23	4	16	11	5	13	14	
4	8	18	9	20	19	13	12	16	3	11	22	21	10	1	23	24	5	17	12	6	14	15	
5	9	19	10	21	20	14	13	17	4	12	23	22	11	2	24	1	6	18	13	7	15	16	
6	10	20	11	22	21	15	14	18	5	13	24	23	12	3	1	2	7	19	14	8	16	17	
7	11	21	12	23	22	16	15	19	6	14	1	24	13	4	2	3	8	20	15	9	17	18	
8	12	22	13	24	23	17	16	20	7	15	2	1	14	5	3	4	9	21	16	10	18	19	
9	13	23	14	1	24	18	17	21	8	16	3	2	15	6	4	5	10	22	17	11	19	20	
10	14	24	15	2	1	19	18	22	9	17	4	3	16	7	5	6	11	23	18	12	20	21	
11	15	1	16	3	2	20	19	23	10	18	5	4	17	8	6	7	12	24	19	13	21	22	
12	16	2	17	4	3	21	20	24	11	19	6	5	18	9	7	8	13	1	20	14	22	23	
13	17	3	18	5	4	22	21	1	12	20	7	6	19	10	8	9	14	2	21	15	23	24	
14	18	4	19	6	5	23	22	2	13	21	8	7	20	11	9	10	15	3	22	16	24	1	
15	19	5	20	7	6	24	23	3	14	22	9	8	21	12	10	11	16	4	23	17	1	2	
16	20	6	21	8	7	1	24	4	15	23	10	9	22	13	11	12	17	5	24	18	2	3	
17	21	7	22	9	8	2	1	5	16	24	11	10	23	14	12	13	18	6	1	19	3	4	
18	22	8	23	10	9	3	2	6	17	1	12	11	24	15	13	14	19	7	2	20	4	5	
19	23	9	24	11	10	4	3	7	18	2	13	12	1	16	14	15	20	8	3	21	5	6	
20	24	10	1	12	11	5	4	8	19	3	14	13	2	17	15	16	21	9	4	22	6	7	
21	1	11	2	13	12	6	5	9	20	4	15	14	3	18	16	17	22	10	5	23	7	8	
22	2	12	3	14	13	7	6	10	21	5	16	15	4	19	17	18	23	11	6	24	8	9	
23	3	13	4	15	14	8	7	11	22	6	17	16	5	20	18	19	24	12	7	1	9	10	
24	4	14	5	16	15	9	8	12	23	7	18	17	6	21	19	20	1	13	8	2	10	11	
