28	29	2	4	6	7	8	10	11	14	23	15	16	18	21	26	27	5	12	17	19	30	1	10	28	7	25	20	4	
29	30	3	5	7	8	9	11	12	15	24	16	17	19	22	27	28	6	13	18	20	1	2	11	29	8	26	21	5	
30	1	4	6	8	9	10	12	13	16	25	17	18	20	23	28	29	7	14	19	21	2	3	12	30	9	27	22	6	
1	3	9	13	17	19	21	25	27	4	14	8	10	16	20	26	28	2	22	6	11	5	7	18	12	24	13	15	30	
2	4	10	14	18	20	22	26	28	5	15	9	11	17	21	27	29	3	23	7	12	6	8	19	13	25	14	16	1	
3	5	11	15	19	21	23	27	29	6	16	10	12	18	22	28	30	4	24	8	13	7	9	20	14	26	15	17	2	
4	6	12	16	20	22	24	28	30	7	17	11	13	19	23	29	1	5	25	9	14	8	10	21	15	27	16	18	3	
5	7	13	17	21	23	25	29	1	8	18	12	14	20	24	30	2	6	26	10	15	9	11	22	16	28	17	19	4	
6	8	14	18	22	24	26	30	2	9	19	13	15	21	25	1	3	7	27	11	16	10	12	23	17	29	18	20	5	
7	9	15	19	23	25	27	1	3	10	20	14	16	22	26	2	4	8	28	12	17	11	13	24	18	30	19	21	6	
8	10	16	20	24	26	28	2	4	11	21	15	17	23	27	3	5	9	29	13	18	12	14	25	19	1	20	22	7	
9	11	17	21	25	27	29	3	5	12	22	16	18	24	28	4	6	10	30	14	19	13	15	26	20	2	21	23	8	
10	12	18	22	26	28	30	4	6	13	23	17	19	25	29	5	7	11	1	15	20	14	16	27	21	3	22	24	9	
11	13	19	23	27	29	1	5	7	14	24	18	20	26	30	6	8	12	2	16	21	15	17	28	22	4	23	25	10	
12	14	20	24	28	30	2	6	8	15	25	19	21	27	1	7	9	13	3	17	22	16	18	29	23	5	24	26	11	
13	15	21	25	29	1	3	7	9	16	26	20	22	28	2	8	10	14	4	18	23	17	19	30	24	6	25	27	12	
14	16	22	26	30	2	4	8	10	17	27	21	23	29	3	9	11	15	5	19	24	18	20	1	25	7	26	28	13	
15	17	23	27	1	3	5	9	11	18	28	22	24	30	4	10	12	16	6	20	25	19	21	2	26	8	27	29	14	
16	18	24	28	2	4	6	10	12	19	29	23	25	1	5	11	13	17	7	21	26	20	22	3	27	9	28	30	15	
17	19	25	29	3	5	7	11	13	20	30	24	26	2	6	12	14	18	8	22	27	21	23	4	28	10	29	1	16	
18	20	26	30	4	6	8	12	14	21	1	25	27	3	7	13	15	19	9	23	28	22	24	5	29	11	30	2	17	
19	21	27	1	5	7	9	13	15	22	2	26	28	4	8	14	16	20	10	24	29	23	25	6	30	12	1	3	18	
20	22	28	2	6	8	10	14	16	23	3	27	29	5	9	15	17	21	11	25	30	24	26	7	1	13	2	4	19	
21	23	29	3	7	9	11	15	17	24	4	28	30	6	10	16	18	22	12	26	1	25	27	8	2	14	3	5	20	
22	24	30	4	8	10	12	16	18	25	5	29	1	7	11	17	19	23	13	27	2	26	28	9	3	15	4	6	21	
23	25	1	5	9	11	13	17	19	26	6	30	2	8	12	18	20	24	14	28	3	27	29	10	4	16	5	7	22	
24	26	2	6	10	12	14	18	20	27	7	1	3	9	13	19	21	25	15	29	4	28	30	11	5	17	6	8	23	
25	27	3	7	11	13	15	19	21	28	8	2	4	10	14	20	22	26	16	30	5	29	1	12	6	18	7	9	24	
26	28	4	8	12	14	16	20	22	29	9	3	5	11	15	21	23	27	17	1	6	30	2	13	7	19	8	10	25	
27	29	5	9	13	15	17	21	23	30	10	4	6	12	16	22	24	28	18	2	7	1	3	14	8	20	9	11	26	
28	30	6	10	14	16	18	22	24	1	11	5	7	13	17	23	25	29	19	3	8	2	4	15	9	21	10	12	27	
29	1	7	11	15	17	19	23	25	2	12	6	8	14	18	24	26	30	20	4	9	3	5	16	10	22	11	13	28	
30	2	8	12	16	18	20	24	26	3	13	7	9	15	19	25	27	1	21	5	10	4	6	17	11	23	12	14	29	
1	4	12	17	22	25	28	7	10	14	2	29	3	11	6	20	18	24	19	15	30	4	9	16	23	8	21	2	26	
2	5	13	18	23	26	29	8	11	15	3	30	4	12	7	21	19	25	20	16	1	5	10	17	24	9	22	3	27	
3	6	14	19	24	27	30	9	12	16	4	1	5	13	8	22	20	26	21	17	2	6	11	18	25	10	23	4	28	
4	7	15	20	25	28	1	10	13	17	5	2	6	14	9	23	21	27	22	18	3	7	12	19	26	11	24	5	29	
5	8	16	21	26	29	2	11	14	18	6	3	7	15	10	24	22	28	23	19	4	8	13	20	27	12	25	6	30	
6	9	17	22	27	30	3	12	15	19	7	4	8	16	11	25	23	29	24	20	5	9	14	21	28	13	26	7	1	
7	10	18	23	28	1	4	13	16	20	8	5	9	17	12	26	24	30	25	21	6	10	15	22	29	14	27	8	2	
8	11	19	24	29	2	5	14	17	21	9	6	10	18	13	27	25	1	26	22	7	11	16	23	30	15	28	9	3	
9	12	20	25	30	3	6	15	18	22	10	7	11	19	14	28	26	2	27	23	8	12	17	24	1	16	29	10	4	
10	13	21	26	1	4	7	16	19	23	11	8	12	20	15	29	27	3	28	24	9	13	18	25	2	17	30	11	5	
11	14	22	27	2	5	8	17	20	24	12	9	13	21	16	30	28	4	29	25	10	14	19	26	3	18	1	12	6	
12	15	23	28	3	6	9	18	21	25	13	10	14	22	17	1	29	5	30	26	11	15	20	27	4	19	2	13	7	
13	16	24	29	4	7	10	19	22	26	14	11	15	23	18	2	30	6	1	27	12	16	21	28	5	20	3	14	8	
14	17	25	30	5	8	11	20	23	27	15	12	16	24	19	3	1	7	2	28	13	17	22	29	6	21	4	15	9	
15	18	26	1	6	9	12	21	24	28	16	13	17	25	20	4	2	8	3	29	14	18	23	30	7	22	5	16	10	
16	19	27	2	7	10	13	22	25	29	17	14	18	26	21	5	3	9	4	30	15	19	24	1	8	23	6	17	11	
17	20	28	3	8	11	14	23	26	30	18	15	19	27	22	6	4	10	5	1	16	20	25	2	9	24	7	18	12	
18	21	29	4	9	12	15	24	27	1	19	16	20	28	23	7	5	11	6	2	17	21	26	3	10	25	8	19	13	
