5	8	16	21	10	14	19	20	15	4	22	11	23	27	26	3	9	24	13	2	6	3	25	18	20	1	17	
6	9	17	22	11	15	20	21	16	5	23	12	24	1	27	4	10	25	14	3	7	4	26	19	21	2	18	
7	10	18	23	12	16	21	22	17	6	24	13	25	2	1	5	11	26	15	4	8	5	27	20	22	3	19	
8	11	19	24	13	17	22	23	18	7	25	14	26	3	2	6	12	27	16	5	9	6	1	21	23	4	20	
9	12	20	25	14	18	23	24	19	8	26	15	27	4	3	7	13	1	17	6	10	7	2	22	24	5	21	
10	13	21	26	15	19	24	25	20	9	27	16	1	5	4	8	14	2	18	7	11	8	3	23	25	6	22	
11	14	22	27	16	20	25	26	21	10	1	17	2	6	5	9	15	3	19	8	12	9	4	24	26	7	23	
12	15	23	1	17	21	26	27	22	11	2	18	3	7	6	10	16	4	20	9	13	10	5	25	27	8	24	
13	16	24	2	18	22	27	1	23	12	3	19	4	8	7	11	17	5	21	10	14	11	6	26	1	9	25	
14	17	25	3	19	23	1	2	24	13	4	20	5	9	8	12	18	6	22	11	15	12	7	27	2	10	26	
15	18	26	4	20	24	2	3	25	14	5	21	6	10	9	13	19	7	23	12	16	13	8	1	3	11	27	
16	19	27	5	21	25	3	4	26	15	6	22	7	11	10	14	20	8	24	13	17	14	9	2	4	12	1	
17	20	1	6	22	26	4	5	27	16	7	23	8	12	11	15	21	9	25	14	18	15	10	3	5	13	2	
18	21	2	7	23	27	5	6	1	17	8	24	9	13	12	16	22	10	26	15	19	16	11	4	6	14	3	
19	22	3	8	24	1	6	7	2	18	9	25	10	14	13	17	23	11	27	16	20	17	12	5	7	15	4	
20	23	4	9	25	2	7	8	3	19	10	26	11	15	14	18	24	12	1	17	21	18	13	6	8	16	5	
21	24	5	10	26	3	8	9	4	20	11	27	12	16	15	19	25	13	2	18	22	19	14	7	9	17	6	
22	25	6	11	27	4	9	10	5	21	12	1	13	17	16	20	26	14	3	19	23	20	15	8	10	18	7	
23	26	7	12	1	5	10	11	6	22	13	2	14	18	17	21	27	15	4	20	24	21	16	9	11	19	8	
24	27	8	13	2	6	11	12	7	23	14	3	15	19	18	22	1	16	5	21	25	22	17	10	12	20	9	
25	1	9	14	3	7	12	13	8	24	15	4	16	20	19	23	2	17	6	22	26	23	18	11	13	21	10	
26	2	10	15	4	8	13	14	9	25	16	5	17	21	20	24	3	18	7	23	27	24	19	12	14	22	11	
27	3	11	16	5	9	14	15	10	26	17	6	18	22	21	25	4	19	8	24	1	25	20	13	15	23	12	
1	5	14	26	20	7	21	9	3	16	13	19	18	6	2	10	23	24	17	15	25	12	26	8	4	27	11	
2	6	15	27	21	8	22	10	4	17	14	20	19	7	3	11	24	25	18	16	26	13	27	9	5	1	12	
3	7	16	1	22	9	23	11	5	18	15	21	20	8	4	12	25	26	19	17	27	14	1	10	6	2	13	
4	8	17	2	23	10	24	12	6	19	16	22	21	9	5	13	26	27	20	18	1	15	2	11	7	3	14	
5	9	18	3	24	11	25	13	7	20	17	23	22	10	6	14	27	1	21	19	2	16	3	12	8	4	15	
6	10	19	4	25	12	26	14	8	21	18	24	23	11	7	15	1	2	22	20	3	17	4	13	9	5	16	
7	11	20	5	26	13	27	15	9	22	19	25	24	12	8	16	2	3	23	21	4	18	5	14	10	6	17	
8	12	21	6	27	14	1	16	10	23	20	26	25	13	9	17	3	4	24	22	5	19	6	15	11	7	18	
9	13	22	7	1	15	2	17	11	24	21	27	26	14	10	18	4	5	25	23	6	20	7	16	12	8	19	
10	14	23	8	2	16	3	18	12	25	22	1	27	15	11	19	5	6	26	24	7	21	8	17	13	9	20	
11	15	24	9	3	17	4	19	13	26	23	2	1	16	12	20	6	7	27	25	8	22	9	18	14	10	21	
12	16	25	10	4	18	5	20	14	27	24	3	2	17	13	21	7	8	1	26	9	23	10	19	15	11	22	
13	17	26	11	5	19	6	21	15	1	25	4	3	18	14	22	8	9	2	27	10	24	11	20	16	12	23	
14	18	27	12	6	20	7	22	16	2	26	5	4	19	15	23	9	10	3	1	11	25	12	21	17	13	24	
15	19	1	13	7	21	8	23	17	3	27	6	5	20	16	24	10	11	4	2	12	26	13	22	18	14	25	
16	20	2	14	8	22	9	24	18	4	1	7	6	21	17	25	11	12	5	3	13	27	14	23	19	15	26	
17	21	3	15	9	23	10	25	19	5	2	8	7	22	18	26	12	13	6	4	14	1	15	24	20	16	27	
