7	9	15	19	25	1	3	8	14	16	12	24	26	4	10	6	11	22	5	20	18	21	13	23	17	
8	10	16	20	26	2	4	9	15	17	13	25	1	5	11	7	12	23	6	21	19	22	14	24	18	
9	11	17	21	1	3	5	10	16	18	14	26	2	6	12	8	13	24	7	22	20	23	15	25	19	
10	12	18	22	2	4	6	11	17	19	15	1	3	7	13	9	14	25	8	23	21	24	16	26	20	
11	13	19	23	3	5	7	12	18	20	16	2	4	8	14	10	15	26	9	24	22	25	17	1	21	
12	14	20	24	4	6	8	13	19	21	17	3	5	9	15	11	16	1	10	25	23	26	18	2	22	
13	15	21	25	5	7	9	14	20	22	18	4	6	10	16	12	17	2	11	26	24	1	19	3	23	
14	16	22	26	6	8	10	15	21	23	19	5	7	11	17	13	18	3	12	1	25	2	20	4	24	
15	17	23	1	7	9	11	16	22	24	20	6	8	12	18	14	19	4	13	2	26	3	21	5	25	
16	18	24	2	8	10	12	17	23	25	21	7	9	13	19	15	20	5	14	3	1	4	22	6	26	
17	19	25	3	9	11	13	18	24	26	22	8	10	14	20	16	21	6	15	4	2	5	23	7	1	
18	20	26	4	10	12	14	19	25	1	23	9	11	15	21	17	22	7	16	5	3	6	24	8	2	
19	21	1	5	11	13	15	20	26	2	24	10	12	16	22	18	23	8	17	6	4	7	25	9	3	
20	22	2	6	12	14	16	21	1	3	25	11	13	17	23	19	24	9	18	7	5	8	26	10	4	
21	23	3	7	13	15	17	22	2	4	26	12	14	18	24	20	25	10	19	8	6	9	1	11	5	
22	24	4	8	14	16	18	23	3	5	1	13	15	19	25	21	26	11	20	9	7	10	2	12	6	
23	25	5	9	15	17	19	24	4	6	2	14	16	20	26	22	1	12	21	10	8	11	3	13	7	
24	26	6	10	16	18	20	25	5	7	3	15	17	21	1	23	2	13	22	11	9	12	4	14	8	
25	1	7	11	17	19	21	26	6	8	4	16	18	22	2	24	3	14	23	12	10	13	5	15	9	
26	2	8	12	18	20	22	1	7	9	5	17	19	23	3	25	4	15	24	13	11	14	6	16	10	
1	4	12	17	2	5	8	14	15	18	23	11	16	21	24	25	10	22	20	2	1	13	9	7	3	
2	5	13	18	3	6	9	15	16	19	24	12	17	22	25	26	11	23	21	3	2	14	10	8	4	
3	6	14	19	4	7	10	16	17	20	25	13	18	23	26	1	12	24	22	4	3	15	11	9	5	
4	7	15	20	5	8	11	17	18	21	26	14	19	24	1	2	13	25	23	5	4	16	12	10	6	
5	8	16	21	6	9	12	18	19	22	1	15	20	25	2	3	14	26	24	6	5	17	13	11	7	
6	9	17	22	7	10	13	19	20	23	2	16	21	26	3	4	15	1	25	7	6	18	14	12	8	
7	10	18	23	8	11	14	20	21	24	3	17	22	1	4	5	16	2	26	8	7	19	15	13	9	
8	11	19	24	9	12	15	21	22	25	4	18	23	2	5	6	17	3	1	9	8	20	16	14	10	
9	12	20	25	10	13	16	22	23	26	5	19	24	3	6	7	18	4	2	10	9	21	17	15	11	
